Date,Open,High,Low,Close,Volume
1/4/2021 16:00:00,222.64,223.75,215.72,220.31,10319917
1/5/2021 16:00:00,219.49,223,217.99,221.52,8657235
1/6/2021 16:00:00,218,220.46,215.78,216.15,9789849
1/7/2021 16:00:00,217.03,220.66,216.5,217.98,8443142
1/8/2021 16:00:00,220,222.32,219.22,222.04,7301710
1/11/2021 16:00:00,219.63,220.58,216.23,218.25,7206463
1/12/2021 16:00:00,218,218.3,214.09,215.52,10735962
1/13/2021 16:00:00,217,218.9,215.53,218.18,6839171
1/14/2021 16:00:00,218.23,219.5,215.55,215.6,6548025
1/15/2021 16:00:00,216.17,217.87,212.99,213.14,8525598
1/19/2021 16:00:00,215.35,217.28,213.7,216.76,7753752
1/20/2021 16:00:00,221.99,224.64,219.97,223.44,9857747
1/21/2021 16:00:00,223.69,224.74,220.82,222.17,6800810
1/22/2021 16:00:00,224.9,227.79,223.75,225.77,10186076
1/25/2021 16:00:00,229.69,230.3,221.32,225.92,8213455
1/26/2021 16:00:00,227.8,227.91,224.54,226.26,5021036
1/27/2021 16:00:00,223.7,227.81,221.58,224.78,7641060
1/28/2021 16:00:00,225,229.6,225,226.5,7246045
1/29/2021 16:00:00,224.66,228.79,223.02,225.56,6472983
2/1/2021 16:00:00,227.21,229.9,224.75,228.46,5696684
2/2/2021 16:00:00,231.47,235.95,231.38,234.2,7134891
2/3/2021 16:00:00,235,236,232.26,234.82,5357550
2/4/2021 16:00:00,235.52,238.23,235.47,237.98,4770722
2/5/2021 16:00:00,239.15,239.36,236.41,238.89,5019976
2/8/2021 16:00:00,239.51,241.11,237.13,238.93,4336360
2/9/2021 16:00:00,239.56,240.08,236.24,236.7,5157234
2/10/2021 16:00:00,237.45,238.22,233.96,236.72,5535571
2/11/2021 16:00:00,238.93,242.89,238.58,241.24,6091619
2/12/2021 16:00:00,240.95,241.56,238.91,240.37,4314439
2/16/2021 16:00:00,245,251.23,243.8,248.59,10837611
2/17/2021 16:00:00,248.59,249.5,245.5,247.66,5907885
2/18/2021 16:00:00,245.97,248.01,242.57,247.01,4159075
2/19/2021 16:00:00,248,249.39,245.98,246.56,4647670
2/22/2021 16:00:00,244.26,244.52,240.38,240.95,5055001
2/23/2021 16:00:00,235.26,238.96,229.01,235.64,8641607
2/24/2021 16:00:00,235.53,241.5,231.51,240.47,6128260
2/25/2021 16:00:00,238.53,240.35,229.77,231.08,8828937
2/26/2021 16:00:00,229.39,230.5,216.34,216.5,20372918
3/1/2021 16:00:00,219.9,220.2,215.03,217.54,14027677
3/2/2021 16:00:00,218.4,218.6,213.34,213.47,10211493
3/3/2021 16:00:00,212.83,213.32,205.4,206,11459016
3/4/2021 16:00:00,206.84,209.09,201.51,205.33,12800545
3/5/2021 16:00:00,210.01,212.35,203.22,210.76,11405951
3/8/2021 16:00:00,213.62,214.9,207.57,207.72,9576414
3/9/2021 16:00:00,212.18,215.79,211.17,211.53,9732242
3/10/2021 16:00:00,214.72,216.15,211.77,211.96,7186394
3/11/2021 16:00:00,215,218.17,214.35,215.95,6430984
3/12/2021 16:00:00,213.45,213.85,209.3,212.21,6114641
3/15/2021 16:00:00,211.85,212.94,209.5,212.8,5741240
3/16/2021 16:00:00,214.84,216.69,213.48,214.48,5311048
3/17/2021 16:00:00,213.52,214.81,210.86,213.12,5805143
3/18/2021 16:00:00,210.7,211.38,208.4,209.48,5583153
3/19/2021 16:00:00,209.81,212.75,209.07,212.2,7088442
